district,name,votes,percent_votes
10001,Scott Andrews ** Liberal/Libéral,16008,44
10001,Fabian Manning Conservative/Conservateur,14749,40.5
10001,Matthew Martin Fuchs NDP-New Democratic Party/NPD-Nouveau Parti démocratique,5157,14.2
10001,Randy Wayne Dawe Independent/Indépendant,276,0.8
10001,Matt Crowder Green Party/Parti Vert,218,0.6
10002,Scott Simms ** Liberal/Libéral,17977,57.7
10002,Aaron Hynes Conservative/Conservateur,8595,27.6
10002,Clyde Bridger NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4306,13.8
10002,Robyn Kenny Green Party/Parti Vert,279,0.9
10003,Gerry Byrne ** Liberal/Libéral,17119,57
10003,Trevor Taylor Conservative/Conservateur,7559,25.2
10003,Shelley Senior NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4751,15.8
10003,Wayne R. Bennett Independent/Indépendant,332,1.1
10003,Robin Blair Gosse Green Party/Parti Vert,253,0.8
10004,Peter Penashue Conservative/Conservateur,4256,39.8
10004,Todd Russell ** Liberal/Libéral,4177,39.1
10004,Jacob Larkin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2120,19.8
10004,George C.R. Barrett Green Party/Parti Vert,139,1.3
10005,Judy Foote ** Liberal/Libéral,12914,49.7
10005,John Ottenheimer Conservative/Conservateur,8322,32
10005,Stella Magalios NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4465,17.2
10005,Tanya Gutmanis Green Party/Parti Vert,307,1.2
10006,Jack Harris ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,31388,71.2
10006,Jerry Byrne Conservative/Conservateur,9198,20.9
10006,John Allan Liberal/Libéral,3019,6.9
10006,Robert Miller Green Party/Parti Vert,467,1.1
10007,Ryan Cleary NDP-New Democratic Party/NPD-Nouveau Parti démocratique,18681,47.9
10007,Siobhan Coady ** Liberal/Libéral,11130,28.5
10007,Loyola Sullivan Conservative/Conservateur,8883,22.8
10007,Rick Austin Green Party/Parti Vert,291,0.7
11001,Lawrence MacAulay ** Liberal/Libéral,10486,49.6
11001,Mike Currie Conservative/Conservateur,8107,38.4
11001,Lorne Cudmore NDP-New Democratic Party/NPD-Nouveau Parti démocratique,2164,10.2
11001,Leslie Stewart Green Party/Parti Vert,373,1.8
11002,Sean Casey Liberal/Libéral,7292,39.5
11002,Donna Profit Conservative/Conservateur,6040,32.7
11002,Joe Byrne NDP-New Democratic Party/NPD-Nouveau Parti démocratique,4632,25.1
11002,Eliza Knockwood Green Party/Parti Vert,417,2.3
11002,Baird Judson CHP Canada/PHC Canada,87,0.5
11003,Gail Shea ** Conservative/Conservateur,10467,54.6
