district	district_name	results_type	surname	given_name	party	votes	percent_votes	rejected_ballots	total_ballots
10001	Avalon	preliminary	Chapman	Matthew	Conservative	12538	31	0	40457
10001	Avalon	preliminary	Malone	Greg	Green Party	2172	5.4	0	40457
10001	Avalon	preliminary	McDonald	Kenneth	Liberal	18646	46.1	0	40457
10001	Avalon	preliminary	Movelle	Lea Mary	NDP-New Democratic Party	7101	17.6	0	40457
10001	Avalon	validated	Chapman	Matthew	Conservative	12855	31.1	397	41731
10001	Avalon	validated	Malone	Greg	Green Party	2215	5.4	397	41731
10001	Avalon	validated	McDonald	Kenneth	Liberal	19122	46.3	397	41731
10001	Avalon	validated	Movelle	Lea Mary	NDP-New Democratic Party	7142	17.3	397	41731
10002	Bonavista--Burin--Trinity	preliminary	Cooper	Matthew	NDP-New Democratic Party	3855	12	0	32173
10002	Bonavista--Burin--Trinity	preliminary	Reichel	Kelsey	Green Party	920	2.9	0	32173
10002	Bonavista--Burin--Trinity	preliminary	Rogers	Churence	Liberal	14701	45.7	0	32173
10002	Bonavista--Burin--Trinity	preliminary	Vokey	Sharon	Conservative	12697	39.5	0	32173
10002	Bonavista--Burin--Trinity	validated	Cooper	Matthew	NDP-New Democratic Party	3855	12	609	32788
10002	Bonavista--Burin--Trinity	validated	Reichel	Kelsey	Green Party	920	2.9	609	32788
10002	Bonavista--Burin--Trinity	validated	Rogers	Churence	Liberal	14707	45.7	609	32788
10002	Bonavista--Burin--Trinity	validated	Vokey	Sharon	Conservative	12697	39.5	609	32788
10003	Coast of Bays--Central--Notre Dame	preliminary	Bracci	Alex	Conservative	11695	35.5	0	32924
10003	Coast of Bays--Central--Notre Dame	preliminary	Joe	Noel	NDP-New Democratic Party	4058	12.3	0	32924
10003	Coast of Bays--Central--Notre Dame	preliminary	Simms	Scott	Liberal	15861	48.2	0	32924
10003	Coast of Bays--Central--Notre Dame	preliminary	White	Byron	Green Party	1310	4	0	32924
10003	Coast of Bays--Central--Notre Dame	validated	Bracci	Alex	Conservative	12081	35.3	770	34952
10003	Coast of Bays--Central--Notre Dame	validated	Joe	Noel	NDP-New Democratic Party	4224	12.4	770	34952
10003	Coast of Bays--Central--Notre Dame	validated	Simms	Scott	Liberal	16514	48.3	770	34952
10003	Coast of Bays--Central--Notre Dame	validated	White	Byron	Green Party	1363	4	770	34952
10004	Labrador	preliminary	Colbourne	Tyler	Green Party	224	2	0	11389
10004	Labrador	preliminary	Flemming	Larry	Conservative	3548	31.2	0	11389
10004	Labrador	preliminary	Gray	Michelene	NDP-New Democratic Party	2796	24.6	0	11389
10004	Labrador	preliminary	Jones	Yvonne	Liberal	4821	42.3	0	11389
10004	Labrador	validated	Colbourne	Tyler	Green Party	224	2	139	11558
10004	Labrador	validated	Flemming	Larry	Conservative	3548	31.1	139	11558
10004	Labrador	validated	Gray	Michelene	NDP-New Democratic Party	2796	24.5	139	11558
10004	Labrador	validated	Jones	Yvonne	Liberal	4851	42.5	139	11558
10005	Long Range Mountains	preliminary	Eisses	Josh	Conservative	10874	28.3	0	38385
10005	Long Range Mountains	preliminary	Hutchings	Gudie	Liberal	18182	47.4	0	38385
10005	Long Range Mountains	preliminary	Knill	Lucas	Green Party	1326	3.5	0	38385
10005	Long Range Mountains	preliminary	Miles	Robert	VCP	409	1.1	0	38385
10005	Long Range Mountains	preliminary	Pike	Holly	NDP-New Democratic Party	7594	19.8	0	38385
10005	Long Range Mountains	validated	Eisses	Josh	Conservative	10873	28.3	576	39002
10005	Long Range Mountains	validated	Hutchings	Gudie	Liberal	18199	47.4	576	39002
10005	Long Range Mountains	validated	Knill	Lucas	Green Party	1334	3.5	576	39002
10005	Long Range Mountains	validated	Miles	Robert	VCP	411	1.1	576	39002
10005	Long Range Mountains	validated	Pike	Holly	NDP-New Democratic Party	7609	19.8	576	39002
10006	St. John's East	preliminary	Harris	Jack	NDP-New Democratic Party	21164	46.9	0	45130
10006	St. John's East	preliminary	Peters	David	Green Party	818	1.8	0	45130
10006	St. John's East	preliminary	Wall	Joedy	Conservative	8187	18.1	0	45130
10006	St. John's East	preliminary	Whalen	Nick	Liberal	14961	33.2	0	45130
10006	St. John's East	validated	Harris	Jack	NDP-New Democratic Party	21148	46.9	528	45600
10006	St. John's East	validated	Peters	David	Green Party	821	1.8	528	45600
10006	St. John's East	validated	Wall	Joedy	Conservative	8141	18.1	528	45600
10006	St. John's East	validated	Whalen	Nick	Liberal	14962	33.2	528	45600
10007	St. John's South--Mount Pearl	preliminary	Anonsen	Anne Marie	NDP-New Democratic Party	10703	27.1	0	39514
10007	St. John's South--Mount Pearl	preliminary	Hayward	Alexandra	Green Party	717	1.8	0	39514
10007	St. John's South--Mount Pearl	preliminary	Jones	David	Christian Heritage Party	137	0.3	0	39514
10007	St. John's South--Mount Pearl	preliminary	Martin	Terry	Conservative	7537	19.1	0	39514
10007	St. John's South--Mount Pearl	preliminary	O'Regan	Seamus	Liberal	20094	50.9	0	39514
10007	St. John's South--Mount Pearl	preliminary	Ruckpaul	Benjamin	People's Party	326	0.8	0	39514
10007	St. John's South--Mount Pearl	validated	Anonsen	Anne Marie	NDP-New Democratic Party	10890	26.8	592	41258
10007	St. John's South--Mount Pearl	validated	Hayward	Alexandra	Green Party	740	1.8	592	41258
10007	St. John's South--Mount Pearl	validated	Jones	David	Christian Heritage Party	141	0.3	592	41258
10007	St. John's South--Mount Pearl	validated	Martin	Terry	Conservative	7767	19.1	592	41258
10007	St. John's South--Mount Pearl	validated	O'Regan	Seamus	Liberal	20793	51.1	592	41258
10007	St. John's South--Mount Pearl	validated	Ruckpaul	Benjamin	People's Party	335	0.8	592	41258
11001	Cardigan	preliminary	Beaton	Glen	Green Party	3006	13.9	0	21697
